TransactionID,Date,Store,Product,Qty,PricePKR,PaymentMethod
1001,2026-01-05,Clifton,Wireless Mouse,2,2500,Card
1002,2026-01-05,Gulshan,Mechanical Keyboard,1,8500,Cash
1003,2026-01-06,Clifton,USB-C Adapter,5,1200,Card
1004,2026-01-06,Saddar,HD Monitor 24in,1,32000,BankTransfer
1005,2026-01-07,Clifton,Wireless Mouse,1,2500,Cash
1006,2026-01-08,Gulshan,Laptop Stand,3,3500,Card
1007,2026-01-09,Saddar,Mechanical Keyboard,2,8500,Card
1008,2026-01-10,Clifton,HD Monitor 24in,2,32000,BankTransfer
1009,2026-01-11,Gulshan,USB-C Adapter,10,1200,Cash
1010,2026-01-12,Clifton,Laptop Stand,1,3500,Card
